cluster,tool_theme,keyword,word_count,avg_monthly_searches,competition_index,top_of_page_bid_low,top_of_page_bid_high,three_month_change,yoy_change
A-meta,SEO Meta Generator,meta description writer,3,500.0,7.0,0.16,9.01,0%,0%
A-meta,SEO Meta Generator,meta description generator,3,500.0,27.0,4.29,13.65,0%,0%
A-meta,SEO Meta Generator,meta description creator,3,500.0,27.0,4.29,13.65,0%,0%
A-meta,SEO Meta Generator,meta description maker,3,500.0,27.0,4.29,13.65,0%,0%
A-meta,SEO Meta Generator,ai meta description generator,4,500.0,10.0,,,0%,-90%
A-meta,SEO Meta Generator,seo title and description generator,5,50.0,68.0,4.51,8.86,0%,0%
A-meta,SEO Meta Generator,seo meta description generator,4,50.0,36.0,4.14,13.56,0%,0%
A-meta,SEO Meta Generator,ai meta description,3,50.0,37.0,4.25,23.35,0%,0%
A-meta,SEO Meta Generator,homepage meta description generator,4,50.0,57.0,,,0%,0%
A-meta,SEO Meta Generator,free meta description generator,4,50.0,22.0,,,0%,0%
A-meta,SEO Meta Generator,best meta description generator,4,50.0,86.0,,,0%,0%
A-meta,SEO Meta Generator,meta description generator from url,5,50.0,,,,-100%,-100%
A-meta,SEO Meta Generator,meta description generator free,4,50.0,62.0,,,0%,0%
A-meta,SEO Meta Generator,meta description ai,3,50.0,0.0,,,0%,0%
A-meta,SEO Meta Generator,meta description generator ai,4,50.0,,,,-100%,-100%
A-meta,SEO Meta Generator,title and meta description generator,5,50.0,21.0,,,0%,0%
A-meta,SEO Meta Generator,create meta description online,4,50.0,0.0,,,0%,0%
A-meta,SEO Meta Generator,meta description ai generator,4,50.0,57.0,,,0%,0%
A-meta,SEO Meta Generator,meta description generator free online,5,50.0,,,,-100%,-100%
A-meta,SEO Meta Generator,website meta description generator,4,50.0,57.0,,,0%,0%
A-meta,SEO Meta Generator,free seo meta description generator,5,50.0,0.0,,,0%,∞
A-meta,SEO Meta Generator,ai meta description writer,4,50.0,,,,0%,-100%
A-meta,SEO Meta Generator,blog meta description generator,4,50.0,0.0,,,0%,0%
A-meta,SEO Meta Generator,meta tag description generator,4,50.0,5.0,,,∞,0%
A-meta,SEO Meta Generator,google meta description generator,4,50.0,,,,0%,-100%
A-meta,SEO Meta Generator,meta description generator online,4,50.0,86.0,,,0%,0%
A-meta,SEO Meta Generator,free meta description writer tool,5,50.0,,,,0%,-100%
A-meta,SEO Meta Generator,meta description writing tool,4,50.0,0.0,,,0%,0%
A-meta,SEO Meta Generator,page title and meta description generator,6,50.0,57.0,,,0%,0%
A-meta,SEO Meta Generator,meta title and meta description generator,6,50.0,,,,0%,-100%
A-meta,SEO Meta Generator,write meta description ai,4,50.0,,,,0%,-100%
A-meta,SEO Meta Generator,meta description generator seo tools,5,50.0,0.0,,,0%,0%
A-meta,SEO Meta Generator,automatic meta description generator,4,50.0,14.0,,,0%,0%
A-meta,SEO Meta Generator,copy ai meta description,4,50.0,,,,0%,0%
A-meta,SEO Meta Generator,free meta description generator tool,5,50.0,,,,0%,-100%
A-meta,SEO Meta Generator,generator meta description,3,50.0,,,,0%,-100%
A-meta,SEO Meta Generator,meta description generator for blogger,5,50.0,,,,0%,-100%
A-meta,SEO Meta Generator,meta description generator google,4,50.0,,,,0%,0%
A-meta,SEO Meta Generator,meta description generator tool,4,50.0,9.0,,,0%,0%
A-meta,SEO Meta Generator,online meta description generator,4,50.0,86.0,,,0%,0%
B-caption,Post Caption Generator,hashtag generator,2,5000.0,7.0,1.65,6.16,0%,0%
B-caption,Post Caption Generator,instagram hashtag generator,3,5000.0,2.0,1.09,5.19,0%,0%
B-caption,Post Caption Generator,hashtag maker instagram,3,5000.0,2.0,1.09,5.19,0%,0%
B-caption,Post Caption Generator,instagram hashtag creator,3,5000.0,2.0,1.09,5.19,0%,0%
B-caption,Post Caption Generator,instagram hashtag maker,3,5000.0,2.0,1.09,5.19,0%,0%
B-caption,Post Caption Generator,hashtag generator free,3,500.0,12.0,0.44,6.41,-90%,-90%
B-caption,Post Caption Generator,free hashtag generator,3,500.0,9.0,1.21,4.38,0%,0%
B-caption,Post Caption Generator,ai hashtag generator,3,500.0,19.0,1.94,6.96,0%,-90%
B-caption,Post Caption Generator,youtube hashtag generator,3,500.0,2.0,0.14,2.97,0%,0%
B-caption,Post Caption Generator,couple name hashtag generator,4,500.0,4.0,1.35,2.51,-90%,-90%
B-caption,Post Caption Generator,hashtag creator,2,500.0,4.0,1.93,7.05,0%,0%
B-caption,Post Caption Generator,hashtag maker,2,500.0,4.0,2.48,5.0,0%,-90%
B-caption,Post Caption Generator,pinterest hashtag generator,3,500.0,3.0,1.37,4.94,900%,0%
B-caption,Post Caption Generator,hashtag generator youtube,3,500.0,2.0,0.14,2.97,0%,0%
B-caption,Post Caption Generator,free hashtag maker,3,500.0,9.0,1.21,4.38,0%,0%
B-caption,Post Caption Generator,hashtag generator tik tok,4,500.0,13.0,0.03,4.04,0%,-90%
C-kwresearch,Keyword Research,ai keyword research tool,4,500.0,6.0,6.39,24.44,900%,0%
C-kwresearch,Keyword Research,ai keyword research,3,500.0,7.0,8.36,33.82,900%,0%
C-kwresearch,Keyword Research,ai keyword tool,3,500.0,6.0,,,0%,0%
C-kwresearch,Keyword Research,keyword tool ai,3,50.0,22.0,7.54,13.4,0%,0%
C-kwresearch,Keyword Research,tiktok keyword generator,3,50.0,4.0,,,0%,0%
C-kwresearch,Keyword Research,twitter keyword generator,3,50.0,,,,0%,-100%
C-kwresearch,Keyword Research,free instagram keyword tool,4,50.0,,,,0%,-100%
C-kwresearch,Keyword Research,keyword generator for instagram,4,50.0,0.0,,,0%,0%
C-kwresearch,Keyword Research,keyword generator instagram,3,50.0,,,,0%,-100%
C-kwresearch,Keyword Research,cluster ai keyword tool,4,50.0,0.0,,,0%,0%
D-adcopy,Ad Copy Generator,ad copy generator,3,500.0,28.0,5.46,25.42,0%,0%
D-adcopy,Ad Copy Generator,ai ad copy generator,4,50.0,14.0,7.24,25.19,0%,0%
D-adcopy,Ad Copy Generator,ad copy ai,3,50.0,33.0,6.91,22.46,0%,0%
D-adcopy,Ad Copy Generator,ai ad copy,3,50.0,34.0,,,0%,0%
D-adcopy,Ad Copy Generator,facebook ad copy ai,4,50.0,,,,0%,-100%
D-adcopy,Ad Copy Generator,ai for ad copy,4,50.0,54.0,,,0%,0%
D-adcopy,Ad Copy Generator,ad copy ai generator,4,50.0,,,,-100%,-100%
